freq,purchase,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DW_NEW,I10_A_AVG,RO	91.04 	95.95 	96.21 	100.06 	101.89 	105.93 	107.65 	119.85 	130.29 	140.86 
A,DW_NEW,I10_A_AVG,SE	112.53 	119.50 	126.91 	139.21 	145.77 	143.54 	144.96 	166.08 	171.23 	160.07 
A,DW_NEW,I10_A_AVG,SI	86.86 	87.15 	96.36 	104.31 	104.41 	108.50 	122.04 	131.21 	139.82 	155.62 
A,DW_NEW,I10_A_AVG,SK	95.85 	101.49 	108.24 	114.73 	121.55 	131.09 	137.51 	159.82 	155.91 	159.39 
A,DW_NEW,I10_A_AVG,TR	170.90 	191.04 	211.49 	230.48 	245.83 	310.14 	439.90 	1103.93 	2220.97 	3149.41 
A,DW_NEW,I10_A_AVG,UK	118.15 	129.19 	135.79 	141.55 	142.69 	: 	: 	: 	: 	: 
A,DW_NEW,I15_A_AVG,AT	100.00 	107.85 	110.47 	115.98 	122.90 	132.08 	143.12 	159.58 	159.13 	163.17 
A,DW_NEW,I15_A_AVG,BE	100.00 	103.49 	107.91 	111.35 	114.79 	119.88 	127.41 	134.14 	136.92 	145.06 
A,DW_NEW,I15_A_AVG,BG	100.00 	106.41 	113.54 	120.04 	130.19 	133.00 	143.27 	158.81 b	172.52 	203.22 
A,DW_NEW,I15_A_AVG,CY	100.00 b	100.38 	112.66 	111.52 	126.72 	134.34 	130.39 	139.98 	154.38 	166.00 
A,DW_NEW,I15_A_AVG,CZ	100.00 	105.90 	120.60 	134.90 	145.50 	158.70 	188.00 	222.30 	219.20 	230.40 
A,DW_NEW,I15_A_AVG,DE	100.00 	106.90 	111.80 	118.90 	122.90 	130.40 	140.00 	148.70 	145.00 	145.70 
A,DW_NEW,I15_A_AVG,DK	100.00 b	99.37 	100.00 	101.79 	102.52 	103.28 	107.49 	118.59 	123.77 	126.59 
A,DW_NEW,I15_A_AVG,EA	100.00 	103.77 	107.53 	112.50 	117.43 	123.49 	131.17 	141.68 	146.41 	152.87 
A,DW_NEW,I15_A_AVG,EA19	100.00 	103.77 	107.53 	112.50 	117.43 	123.49 	131.17 	141.68 	146.38 	152.82 
A,DW_NEW,I15_A_AVG,EA20	100.00 	103.72 	107.44 	112.42 	117.36 	123.39 	131.08 	141.65 	146.40 	152.86 
A,DW_NEW,I15_A_AVG,EA21	100.00 	103.77 	107.56 	112.56 	117.59 	123.57 	131.30 	141.98 	146.92 	153.87 
A,DW_NEW,I15_A_AVG,EE	100.00 	105.33 	110.78 	120.45 	129.22 	141.57 	159.55 	187.85 	210.10 	219.55 
A,DW_NEW,I15_A_AVG,ES	100.00 	106.45 	112.93 	120.05 	129.10 	137.47 	143.71 	154.90 	167.35 	185.44 
A,DW_NEW,I15_A_AVG,EU	100.00 	103.83 	107.80 	113.16 	118.23 	123.99 	132.37 	144.82 	152.02 	162.35 
A,DW_NEW,I15_A_AVG,EU27_2020	100.00 	103.51 	107.39 	112.76 	118.19 	124.26 	132.65 	145.13 	152.34 	162.70 
A,DW_NEW,I15_A_AVG,EU28	100.00 	103.83 	107.80 	113.16 	118.23 	: 	: 	: 	: 	: 
A,DW_NEW,I15_A_AVG,FI	100.00 b	102.38 	106.20 	108.59 	110.52 	114.56 	120.96 	126.27 	125.50 	122.59 
A,DW_NEW,I15_A_AVG,FR	100.00 	101.72 	105.73 	108.39 	112.30 	115.70 	121.03 	128.06 	129.87 	129.04 
A,DW_NEW,I15_A_AVG,HR	100.00 	96.60 	96.52 	99.95 	108.28 	109.63 	119.36 	140.24 	152.84 	163.10 
A,DW_NEW,I15_A_AVG,HU	100.00 	110.11 	130.76 	148.67 	164.73 	185.06 	221.13 	268.66 	309.51 	355.53 p
A,DW_NEW,I15_A_AVG,IE	100.00 	107.63 	113.51 	124.75 	129.80 	132.55 	136.95 	148.38 	163.82 	175.04 
A,DW_NEW,I15_A_AVG,IT	100.00 	100.70 	100.00 	101.10 	102.30 	104.50 	108.50 	115.10 	121.50 	131.10 
A,DW_NEW,I15_A_AVG,LT	100.00 	102.19 	112.31 	121.02 	128.83 	136.98 	156.95 	189.50 	218.81 	240.54 
A,DW_NEW,I15_A_AVG,LU	100.00 	105.61 	111.38 	117.65 	127.69 	146.17 	163.54 	181.98 	175.66 	169.06 
A,DW_NEW,I15_A_AVG,LV	100.00 	107.50 	116.52 	123.67 	134.51 	144.84 	146.81 	165.81 	191.12 	209.45 
A,DW_NEW,I15_A_AVG,MT	100.00 	104.98 	110.49 	117.37 	124.98 	128.01 	135.70 	145.01 	153.69 	163.80 p
A,DW_NEW,I15_A_AVG,NL	100.00 	104.03 	112.28 	123.46 	133.76 	145.51 	161.57 	182.43 	189.21 	195.13 
A,DW_NEW,I15_A_AVG,NO	100.00 	107.07 	112.72 	115.19 	122.44 	129.17 	138.34 	147.94 	154.77 	161.51 
A,DW_NEW,I15_A_AVG,PL	100.00 	101.08 	104.31 	110.02 	117.38 	124.68 	136.02 	152.09 	168.01 	195.66 
A,DW_NEW,I15_A_AVG,PT	100.00 	103.33 	109.12 	117.30 	127.59 	137.19 	149.15 	162.06 	172.78 	185.70 
A,DW_NEW,I15_A_AVG,RO	100.00 	105.39 	105.68 	109.91 	111.92 	116.36 	118.25 	131.65 	143.12 	154.72 
A,DW_NEW,I15_A_AVG,SE	100.00 	106.20 	112.78 	123.71 	129.54 	127.56 	128.82 	147.59 	152.17 	142.25 
A,DW_NEW,I15_A_AVG,SI	100.00 	100.34 	110.95 	120.10 	120.22 	124.92 	140.51 	151.07 	160.99 	179.17 
A,DW_NEW,I15_A_AVG,SK	100.00 	105.88 	112.92 	119.69 	126.82 	136.77 	143.46 	166.74 	162.67 	166.28 
A,DW_NEW,I15_A_AVG,TR	100.00 	111.78 	123.75 	134.86 	143.84 	181.47 	257.40 	645.94 	1299.55 	1842.80 
A,DW_NEW,I15_A_AVG,UK	100.00 	109.35 	114.94 	119.81 	120.78 	: 	: 	: 	: 	: 
A,DW_NEW,RCH_A_AVG,AT	5.6 	7.9 	2.4 	5.0 	6.0 	7.5 	8.4 	11.5 	-0.3 	2.5 
A,DW_NEW,RCH_A_AVG,BE	4.5 	3.5 	4.3 	3.2 	3.1 	4.4 	6.3 	5.3 	2.1 	5.9 
A,DW_NEW,RCH_A_AVG,BG	3.5 	6.4 	6.7 	5.7 	8.5 	2.2 	7.7 	10.8 b	8.6 	17.8 
A,DW_NEW,RCH_A_AVG,CY	-1.4 b	0.4 	12.2 	-1.0 	13.6 	6.0 	-2.9 	7.4 	10.3 	7.5 
